"시도코드","시도명","시군구코드","시군구명","읍면동코드","읍면동명","기준연도","연도","과거대비인구변화","최근인구변화","과거대비사업체변화","최근사업체변화","노후건축물비율"
"11",서울특별시,"11380",서울특별시 은평구,"1112066 ",신사2동,"2016","2016",-15.4,4,-5.1,2,81.91
"11",서울특별시,"11380",서울특별시 은평구,"1112058 ",대조동,"2016","2016",-1.77,0,-0.63,2,73.88
"11",서울특별시,"11380",서울특별시 은평구,"1112052 ",불광1동,"2016","2016",14.42,1,-0.21,1,73.31
"11",서울특별시,"11380",서울특별시 은평구,"1112065 ",신사1동,"2013","2013",-1.08,0,-4.35,1,56.33
"11",서울특별시,"11470",서울특별시 양천구,"1115060 ",신월4동,"2018","2018",-25.55,2,0.97,1,53.26
"11",서울특별시,"11470",서울특별시 양천구,"1115053 ",목3동,"2018","2018",-3.86,3,0,1,62.99
"11",서울특별시,"11470",서울특별시 양천구,"1115053 ",목3동,"2017","2017",-3.86,4,-0.54,1,65.02
"11",서울특별시,"11470",서울특별시 양천구,"1115069 ",신정6동,"2013","2013",-7.26,5,3.05,1,79.39
"11",서울특별시,"11470",서울특별시 양천구,"1115063 ",신월7동,"2013","2013",-22.99,3,-11.68,1,86.97
"11",서울특별시,"11470",서울특별시 양천구,"1115072 ",신정4동,"2016","2016",-0.5,3,-3.45,2,59.84
"11",서울특별시,"11470",서울특별시 양천구,"1115064 ",신정1동,"2016","2016",-37.85,4,-15.25,3,80.74
"11",서울특별시,"11470",서울특별시 양천구,"1115061 ",신월5동,"2016","2016",-17.44,1,-5.11,1,70.06
"11",서울특별시,"11470",서울특별시 양천구,"1115060 ",신월4동,"2014","2014",-29.31,1,-2.4,1,52.37
"26",부산광역시,"26200",부산광역시 영도구,"2104066 ",동삼2동,"2018","2018",-20.94,5,2.05,1,79.71
"26",부산광역시,"26200",부산광역시 영도구,"2104069 ",봉래2동,"2019","2019",-15.82,5,-14.94,3,94.62
"26",부산광역시,"26200",부산광역시 영도구,"2104055 ",영선2동,"2019","2019",-50.83,5,-11.41,2,90.16
"26",부산광역시,"26200",부산광역시 영도구,"2104065 ",동삼1동,"2017","2017",-21.6,5,0.62,1,81.32
"26",부산광역시,"26200",부산광역시 영도구,"2104067 ",동삼3동,"2016","2016",-42.69,5,-7.79,1,77.75
"26",부산광역시,"26320",부산광역시 북구,"2108057 ",덕천2동,"2018","2018",-40.79,5,1.66,2,79.44
"26",부산광역시,"26320",부산광역시 북구,"2108059 ",만덕1동,"2019","2019",-52.01,5,-23.22,2,70.88
"26",부산광역시,"26320",부산광역시 북구,"2108059 ",만덕1동,"2016","2016",-52.01,5,-26.74,2,76.54
"26",부산광역시,"26320",부산광역시 북구,"2108062 ",화명2동,"2013","2013",-5.35,5,-9.04,2,69.63
"26",부산광역시,"26320",부산광역시 북구,"2108056 ",덕천1동,"2014","2014",-47.69,5,-2.18,1,78.47
"45",전라북도,"45720",전라북도 진안군,"3532011 ",진안읍,"2017","2017",-42.76,4,0.2,0,54.61
"45",전라북도,"45720",전라북도 진안군,"3532031 ",용담면,"2018","2018",-82.79,1,-12.5,2,44.75
"45",전라북도,"45720",전라북도 진안군,"3532038 ",부귀면,"2014","2014",-73.24,2,-2.56,1,41.63
"48",경상남도,"48110",경상남도 창원시,"3811559 ",이동,"2017","2017",-14.93,5,0.65,1,72.39
"26",부산광역시,"26320",부산광역시 북구,"2108061 ",만덕3동,"2019","2019",-13.38,5,-2.49,1,88.37
"26",부산광역시,"26320",부산광역시 북구,"2108063 ",화명3동,"2016","2016",-7.83,3,3.22,0,1.17
"26",부산광역시,"26320",부산광역시 북구,"2108057 ",덕천2동,"2013","2013",-32.42,5,2,0,77.01
