cell_id,ix,iy,cell_area_m2,impervious_area,impervious_ratio,veg_area,veg_ratio,elev_mean,elev_min,slope_mean,slope_max,flood_area,flood_ratio,flood_label,flood_proba
28_58,28,58,9976.543499469226,9378.143311215872,0.9400192874130012,598.4001882630058,0.0599807125879661,30.736722310384113,26.78351402282715,5.394476878190124,11.50431287161139,0.0,0.0,0,0.324176592071367
28_59,28,59,9976.425361344638,9271.12024555118,0.9293028223790174,705.3051157951155,0.0706971776211488,26.36069221496582,24.121488571166992,2.9284930095287725,5.724437078881302,0.0,0.0,0,0.615702611581072
28_60,28,60,9976.3072211087,9976.307221106576,0.9999999999997872,0.0,0.0,24.79442081451416,23.819957733154297,2.2751077915309454,5.441014367311409,0.0,0.0,0,0.8552699417123586
28_61,28,61,9976.18907816281,9976.189078167305,1.0000000000004503,0.0,0.0,24.64793128967285,22.36973571777344,3.179427969436617,7.29588444117855,370.67502840549827,0.0371559746413467,1,0.9096636347944614
28_62,28,62,9976.070932686913,9976.070932686847,0.9999999999999936,0.0,0.0,24.4372615814209,21.5499267578125,2.433201016221725,4.421601799890137,653.4737042186839,0.0655041156611624,1,0.9366708488251989
28_63,28,63,9975.952784890069,9975.95278488648,0.9999999999996404,0.0,0.0,24.166962242126463,22.114267349243164,2.093687352184831,3.764365559266933,0.0,0.0,0,0.6991879843848158
28_64,28,64,9975.834634365869,9975.834634366618,1.0000000000000753,0.0,0.0,21.714837646484376,18.82740592956543,4.737814530663664,7.768142896556928,354.0773991307808,0.0354935112808521,1,0.6287280067072929
28_65,28,65,9975.716481672713,8928.388793340133,0.8950122840543113,1047.3276883301878,0.1049877159454489,19.050462913513183,17.700347900390625,2.948338613924852,4.918834878339867,2483.906557949517,0.2489953039977555,1,0.45848621401094136
28_66,28,66,9975.598326222582,7408.2277505566335,0.7426349285819607,1549.0483154336953,0.1552837498841302,17.909558296203613,15.72697925567627,2.8996100716679445,5.801399272985065,2979.458237587103,0.2986746398714835,1,0.7875947974065562
28_67,28,67,9975.480168388216,7752.975506841901,0.7772032399413396,1879.575855363707,0.1884195871914002,16.803246784210206,12.092276573181152,4.95129604619213,8.389675266679271,0.0,0.0,0,0.02148785222635204
28_68,28,68,9975.362008006574,8916.509497537516,0.8938532246128826,1058.8525104737153,0.1061467753875842,17.836493301391602,15.784442901611328,3.0285819562690075,6.577967280941506,0.0,0.0,0,0.31480880427721913
28_69,28,69,9975.243845071447,8183.771064385978,0.8204081214946343,1791.4727806812753,0.1795918785049453,17.341377830505373,11.256176948547363,4.356859226033789,9.677822228203793,0.0,0.0,0,0.018120328556204844
28_70,28,70,9975.125679885929,9509.395836541516,0.9533108796530232,465.7298433505633,0.0466891203475933,20.88309529622396,17.97785186767578,5.90400828560214,12.878677826009575,0.0,0.0,0,0.41077188394243985
28_71,28,71,9975.007511902844,9389.421975968336,0.9412947273236888,585.5855359291847,0.0587052726757774,22.87175941467285,18.66177749633789,7.560154861947192,16.073828855399068,0.0,0.0,0,0.013653993710995209
28_72,28,72,9974.889341727365,9771.514840423431,0.9796113526339418,203.37450129721304,0.0203886473653846,16.866848468780518,13.096026420593262,8.033106748366658,15.412998488561104,0.0,0.0,0,0.010351039797307655
28_73,28,73,9974.771168812324,9728.804710810124,0.9753411427851848,245.96645800019655,0.0246588572146145,19.104377937316897,16.857542037963867,5.700828625291071,10.625985879796827,0.0,0.0,0,0.3819248407825095
28_74,28,74,9974.652993570588,9337.00707370914,0.9360733731516818,637.6459198650032,0.0639266268486747,18.002011680603026,14.6110258102417,3.686886223794706,9.203049599865428,0.0,0.0,0,0.1662073098155589
28_75,28,75,9974.53481572394,8701.151227320803,0.8723365438159819,1273.3835884053576,0.1276634561842408,24.673867416381835,22.80415916442871,4.590933996851213,8.037739628039747,0.0,0.0,0,0.4320237368724441
28_76,28,76,9974.416635533476,6011.999651337097,0.6027419819139678,3962.41698419735,0.3972580180861297,26.91289176940918,22.73202896118164,4.99713221018152,8.057665837053412,0.0,0.0,0,0.02994995970996204
28_77,28,77,9974.2984526216,5693.407961458385,0.5708078606733445,4280.890491157644,0.429192139326097,21.74178352355957,20.62348365783691,1.7903423518353243,2.8293200992873517,0.0,0.0,0,0.15958166730243034
28_78,28,78,9974.180267452712,9273.652110799938,0.9297658416162072,700.5281566561298,0.0702341583841291,19.60897026062012,17.89800262451172,1.9334096143705763,4.060796229158109,0.0,0.0,0,0.25863766880939837
28_79,28,79,9974.062079533156,9974.062079531584,0.9999999999998423,0.0,0.0,19.720936330159507,16.831453323364258,3.041288084054118,7.075107753106536,0.0,0.0,0,0.34633908160416355
28_80,28,80,9973.943889327844,9836.828875840363,0.98625267847815,137.11501348970967,0.0137473215220734,17.701598739624025,15.468109130859377,2.518154298422071,4.111228401439205,0.0,0.0,0,0.037190199746739
28_81,28,81,9973.825696679458,9973.825696677644,0.999999999999818,0.0,0.0,17.667027473449707,15.242005348205566,3.1743728104269877,7.584846743206832,0.0,0.0,0,0.0
28_82,28,82,9973.707501361729,9973.70750136464,1.000000000000292,0.0,0.0,18.313461685180663,16.655981063842773,1.4726601418055512,2.8579602182283006,0.0,0.0,0,0.006950540690002227
28_83,28,83,9973.589303676908,3330.580517152194,0.3339400105360591,0.0,0.0,16.85032711029053,15.467119216918944,3.2484564682000596,6.518464924642005,0.0,0.0,0,0.0030712988861082485
29_0,29,0,9983.388655096176,0.0,0.0,0.0,0.0,87.37796868218317,68.61962890625,16.33908839812415,29.881444010407453,0.0,0.0,0,0.0030712988861082485
29_1,29,1,9983.27066210479,0.0,0.0,0.0,0.0,103.86883354187012,80.9239730834961,18.645936255131616,21.550874883802415,0.0,0.0,0,0.0
29_2,29,2,9983.152666222722,0.0,0.0,0.0,0.0,91.55400149027508,66.70814514160156,20.276455160714075,29.129269008287466,0.0,0.0,0,0.0
29_3,29,3,9983.03466817718,0.0,0.0,0.0,0.0,84.56385326385498,57.13764953613281,22.570941751440955,33.896345154846735,0.0,0.0,0,0.0029551463644948064
29_4,29,4,9982.916667317088,0.0,0.0,0.0,0.0,99.07008912828232,81.47236633300781,14.896093865693546,25.73502615871623,0.0,0.0,0,0.0
29_5,29,5,9982.798664131002,0.0,0.0,0.0,0.0,100.15546735127766,79.49324798583984,18.460281668068813,26.65772151961354,0.0,0.0,0,0.0
29_6,29,6,9982.680658496378,0.0,0.0,0.0,0.0,85.46227137247722,68.32952117919922,16.28641748219587,22.18874377193236,0.0,0.0,0,0.0
29_7,29,7,9982.562650215412,0.0,0.0,0.0,0.0,88.5380490620931,73.73477935791016,15.217468391531751,17.8627678620036,0.0,0.0,0,0.002566847112860892
29_8,29,8,9982.444639678217,0.0,0.0,0.0,0.0,90.78289816114638,63.672481536865234,21.98555765058437,27.048471095388813,0.0,0.0,0,0.0031328678329203895
29_9,29,9,9982.326626355109,0.0,0.0,0.0,0.0,84.4014663696289,58.75154876708984,22.375590711010563,25.280371915249,0.0,0.0,0,0.012070860186562499
29_10,29,10,9982.20861075852,0.0,0.0,0.0,0.0,89.27211920420329,57.66361999511719,27.684359440899794,36.23062241947494,0.0,0.0,0,0.0029551463644948064
29_11,29,11,9982.090592591445,0.0,0.0,0.0,0.0,89.50277264912923,60.10567855834961,25.460170459360683,31.38671036573919,0.0,0.0,0,0.0
29_12,29,12,9981.97257198731,0.0,0.0,0.0,0.0,93.5362548828125,66.8137435913086,22.377813796199636,26.262751747301905,0.0,0.0,0,0.0
29_13,29,13,9981.854548795403,0.0,0.0,0.0,0.0,111.59357833862305,93.14944458007812,17.891264717576664,22.46074727709101,0.0,0.0,0,0.0
29_14,29,14,9981.736523236475,0.0,0.0,0.0,0.0,87.31541474660237,46.66777038574219,30.41868712434542,42.78016725395099,0.0,0.0,0,0.0
29_15,29,15,9981.618494961547,0.0,0.0,0.0,0.0,85.17014598846436,63.8908576965332,16.643727468890237,27.556404683343064,0.0,0.0,0,0.0031328678329203895
29_16,29,16,9981.500464441902,0.0,0.0,0.0,0.0,71.84110111660428,53.523284912109375,14.742049390689584,27.508894050756933,0.0,0.0,0,0.0026540304456600093
29_17,29,17,9981.38243122367,0.0,0.0,0.0,0.0,58.346028645833336,40.6751708984375,16.320220056475065,21.23768627415894,0.0,0.0,0,0.002847459169282562
29_18,29,18,9981.264395708662,0.0,0.0,0.0,0.0,67.07033856709798,47.17103958129883,17.256405278664776,25.30923708879883,0.0,0.0,0,0.02114621445427963
29_19,29,19,9981.146357576325,0.0,0.0,0.0,0.0,56.54478613535563,41.0123405456543,15.096331799229011,23.140753442097836,0.0,0.0,0,0.0
29_20,29,20,9981.028316896824,0.0,0.0,0.0,0.0,66.32387733459473,47.68545913696289,18.916801304392145,28.338898229558627,0.0,0.0,0,0.0
29_21,29,21,9980.910273856727,0.0,0.0,0.0,0.0,91.95865058898926,69.96890258789062,17.43160353669392,28.792387317287837,0.0,0.0,0,0.0
29_22,29,22,9980.792228274378,0.0,0.0,0.0,0.0,91.1021327972412,80.5911865234375,12.137797771888104,16.200118173210235,0.0,0.0,0,0.0
29_23,29,23,9980.674180226468,0.0,0.0,0.0,0.0,68.77321306864421,51.102882385253906,19.046723164916756,25.95239883189725,0.0,0.0,0,0.0
29_24,29,24,9980.556129590856,0.0,0.0,0.0,0.0,43.873136308458115,38.611236572265625,8.14913966346967,21.47873590073067,0.0,0.0,0,0.0
29_25,29,25,9980.43807647139,0.0,0.0,0.0,0.0,34.74228731791178,33.311431884765625,3.6972666814476822,6.740890206203354,0.0,0.0,0,0.0027269117179660185
