시도코드,시도명,시군구코드,시군구명,기준연도,연도,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율
11,서울특별시,11710,서울특별시 송파구,2023,2023,-2.155277679,2,-4.002997045,2,67.08930076
11,서울특별시,11740,서울특별시 강동구,2023,2023,-17.76532766,2,1.191398424,2,69.68556701
26,부산광역시,26110,부산광역시 중구,2023,2023,-49.29681239,5,-4.689244511,2,85.84673605
26,부산광역시,26140,부산광역시 서구,2023,2023,-49.36977577,3,-4.341210168,2,88.29491114
26,부산광역시,26170,부산광역시 동구,2023,2023,-53.92514239,2,-4.013139885,2,90.49339922
26,부산광역시,26200,부산광역시 영도구,2023,2023,-46.12313409,5,1.976874301,0,86.80650068
26,부산광역시,26230,부산광역시 부산진구,2023,2023,-32.36967957,1,-2.572942456,2,85.38100448
26,부산광역시,26260,부산광역시 동래구,2023,2023,-21.50054079,2,-1.516768293,1,83.64353076
26,부산광역시,26290,부산광역시 남구,2023,2023,-22.67197288,5,-3.337490861,2,83.57334142
26,부산광역시,26320,부산광역시 북구,2023,2023,-15.81090437,5,-2.564102564,1,82.29975194
26,부산광역시,26350,부산광역시 해운대구,2023,2023,-6.166785342,5,-0.945925048,1,82.45924546
26,부산광역시,26380,부산광역시 사하구,2023,2023,-19.55711622,5,-0.182801989,1,85.53090107
26,부산광역시,26410,부산광역시 금정구,2023,2023,-27.06432521,3,-2.359790413,2,80.64654987
26,부산광역시,26440,부산광역시 강서구,2023,2023,51.06454336,1,2.327551159,0,46.09854921
26,부산광역시,26470,부산광역시 연제구,2023,2023,-22.41012546,3,-0.930090389,1,83.47355377
26,부산광역시,26500,부산광역시 수영구,2023,2023,-18.72178688,3,1.514910747,0,80.79058257
26,부산광역시,26530,부산광역시 사상구,2023,2023,-28.80939424,5,-2.709896644,2,78.26814379
26,부산광역시,26710,부산광역시 기장군,2023,2023,14.54653987,1,3.105336751,0,43.71005456
27,대구광역시,27110,대구광역시 중구,2023,2023,-51.96175188,3,-4.926108374,2,81.72588832
